GameID,Week,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200110250kan,7,Colts,0,7,10,18,2001,Chiefs,0,3,11,14
200110280det,7,Bengals,7,14,3,7,2001,Lions,3,10,14,0
200110280rav,7,Jaguars,0,3,7,7,2001,Ravens,0,3,3,12
200110280tam,7,Vikings,0,0,8,6,2001,Buccaneers,7,21,13,0
200110280ram,7,Saints,3,3,25,3,2001,Rams,14,10,0,7
200110280car,7,Jets,7,0,3,3,2001,Panthers,6,3,3,0
200110280chi,7,49ers,14,0,14,3,2001,Bears,0,9,7,15
200110280sdg,7,Bills,0,10,0,14,2001,Chargers,10,3,0,14
200110280den,7,Patriots,10,7,3,0,2001,Broncos,7,3,14,7
200110280dal,7,Cardinals,3,0,0,0,2001,Cowboys,0,3,14,0
200110280was,7,Giants,0,14,0,7,2001,Redskins,14,3,10,8
200110280phi,7,Raiders,7,3,7,3,2001,Eagles,0,3,0,7
200110280sea,7,Dolphins,0,10,7,7,2001,Seahawks,0,14,3,3
200110290pit,7,Titans,0,7,0,0,2001,Steelers,7,10,10,7
200111040buf,8,Colts,0,17,7,6,2001,Bills,0,7,0,7
200111040pit,8,Ravens,0,7,0,6,2001,Steelers,3,7,0,0
200111040atl,8,Patriots,0,17,7,0,2001,Falcons,7,0,0,3
200111040mia,8,Panthers,3,3,0,0,2001,Dolphins,3,10,0,10
200111040gnb,8,Buccaneers,0,10,7,3,2001,Packers,7,0,7,7
200111040oti,8,Jaguars,0,17,0,7,2001,Titans,7,0,7,14
200111040nyg,8,Cowboys,10,14,0,0,2001,Giants,0,7,7,10
200111040sfo,8,Lions,7,3,3,0,2001,49ers,0,7,7,7
200111040crd,8,Eagles,7,14,0,0,2001,Cardinals,0,7,0,0
200111040was,8,Seahawks,7,0,7,0,2001,Redskins,10,10,7,0
200111040chi,8,Browns,7,0,14,0,2001,Bears,0,7,0,14
200111040sdg,8,Chiefs,9,10,0,6,2001,Chargers,0,0,10,10
