,Team,Clump,Estimator,params,accuracy,HV
427,49ers,2,ExtraTreesClassifier(),,0.6904761904761905,H
428,49ers,2,DecisionTreeClassifier(),,0.6904761904761905,H
429,49ers,2,AdaBoostClassifier(),,0.6904761904761905,H
430,49ers,2,MultinomialNB(),,0.6904761904761905,H
431,49ers,2,GradientBoostingClassifier(),,0.6904761904761905,H
432,49ers,3,LogisticRegression(),,0.6666666666666666,H
433,49ers,3,KNeighborsClassifier(),,0.6666666666666666,H
434,49ers,3,BaggingClassifier(),,0.5238095238095238,H
435,49ers,3,RandomForestClassifier(),,0.6666666666666666,H
436,49ers,3,ExtraTreesClassifier(),,0.6666666666666666,H
437,49ers,3,DecisionTreeClassifier(),,0.6666666666666666,H
